OBJECTID,Join_Count,TARGET_FID,name,area_km2,Assessed_Value_Sum,Avg_Assessed_Value,Ward,c2016_Less_than_30K,c2016_30K_to_60K,c2016_60K_to_100K,c2016_100K_to_125K,c2016_125K_to_150K,c2016_150K_to_200K,c2016_200K_to_250K,c2016_250K_or_more,c2016_No_Response,Pct_less_than_30k,Pct_less_than_60k,Pct_less_than_100k,Pct_less_than_150k,Pct_less_than_200k,Pct_less_than_250k,TotalPct_Unresponsive,TotalPct_Responsive,Sum_Responsive,Pct_less_than_125K,Pct_LowIncome_less_than_60K,Pct_MiddleClass_60K_to_150K,Pct_Over_150K,LI_greater_than_MC,Shape_Length,Shape_Area,Pct_30K_to_60K,Pct_60K_to_100K,Pct_100K_to_125K,Pct_125K_150K,Pct_150K_to_200K,Pct_200K_to_250K,Pct_250K_or_more,POINT_X,POINT_Y,LI_greater,LI_pct_ind
30,589,30,Prince Charles,0.790115376,180019500,305635.8234,WARD 2,37,54,64,26,9,6,2,1,387,0.1859296,0.4572864,0.7788945,0.9547738,0.9849246,0.9949749,0.6604096,0.3395904,199,0.9095477,0.4572864,0.4974874,0.0452261,0,0.041695774,0.00010719,0.2713568,0.321608,0.1306533,0.0452261,0.0301508,0.0100503,0.0050251,-113.536049,53.57545922,FALSE,2
31,707,31,Woodcroft,1.291675612,215524000,304842.9986,WARD 2,214,121,107,32,24,29,6,5,642,0.3977695,0.6226766,0.8215613,0.9256505,0.9795539,0.9907063,0.5440678,0.4559322,538,0.8810409,0.6226766,0.302974,0.0743494,1,0.054309468,0.000175191,0.2249071,0.1988848,0.0594796,0.0446097,0.0539033,0.0111524,0.0092937,-113.5581399,53.56474345,TRUE,3
32,601,32,Dechene,0.72424652,256375500,426581.5308,WARD 5,7,44,76,47,36,33,23,14,312,0.025,0.1821429,0.4535714,0.75,0.8678572,0.95,0.527027,0.472973,280,0.6214285,0.1821429,0.5678571,0.25,0,0.046496862,9.81E-05,0.1571429,0.2714286,0.1678571,0.1285714,0.1178571,0.0821429,0.05,-113.6365739,53.49111987,FALSE,0
33,1124,33,Athlone,1.193231368,345101500,307029.8043,WARD 2,101,170,203,81,55,46,7,10,475,0.1500743,0.4026746,0.704309,0.9063893,0.97474,0.9851412,0.4137631,0.586237,673,0.8246657,0.4026746,0.5037147,0.0936107,0,0.057294318,0.000161929,0.2526003,0.3016345,0.1203566,0.0817236,0.0683507,0.0104012,0.0148588,-113.5508863,53.58825829,FALSE,2
34,759,34,Mill Woods Town Centre,0.518415531,94021500,123875.4941,WARD 11,180,185,65,17,8,0,0,2,138,0.3938731,0.7986871,0.940919,0.9956236,0.9956236,0.9956236,0.2319328,0.7680672,457,0.9781182,0.7986871,0.1969365,0.0043764,1,0.037661191,7.01E-05,0.404814,0.1422319,0.0371991,0.0175055,0,0,0.0043764,-113.4275081,53.45639407,TRUE,3
35,1103,35,Oleskiw,1.325997817,840095500,761645.9655,WARD 5,9,28,63,57,50,60,42,93,688,0.0223881,0.0920398,0.2487562,0.5149254,0.6641791,0.7686567,0.6311927,0.3688073,402,0.3905473,0.0920398,0.4228856,0.4850746,0,0.107365169,0.000179565,0.0696517,0.1567164,0.141791,0.1243781,0.1492537,0.1044776,0.2313433,-113.6072626,53.49777192,FALSE,0
36,1358,36,Belmead,1.280633773,437434000,322116.3476,WARD 1,131,231,201,102,65,52,25,10,825,0.1603427,0.4430844,0.6891065,0.8935128,0.9571604,0.9877601,0.502436,0.497564,817,0.8139535,0.4430844,0.4504284,0.1064871,0,0.059513493,0.000173535,0.2827417,0.246022,0.124847,0.0795594,0.0636475,0.0305998,0.0122399,-113.6415999,53.52543165,FALSE,2
37,472,37,Bellevue,0.513746727,167711500,355320.9746,WARD 7,39,58,68,41,24,16,11,8,216,0.1471698,0.3660377,0.6226415,0.8679245,0.9283019,0.9698113,0.4490645,0.5509356,265,0.7773585,0.3660377,0.5018868,0.1320755,0,0.037245815,6.97E-05,0.2188679,0.2566038,0.154717,0.090566,0.0603774,0.0415094,0.0301887,-113.4456463,53.56588336,FALSE,1
38,971,38,Fulton Place,0.978513183,351123500,361610.1957,WARD 8,56,95,111,66,38,47,17,7,501,0.1281465,0.3455378,0.5995423,0.8375286,0.9450801,0.9839817,0.5341151,0.4658849,437,0.7505721,0.3455378,0.4919908,0.1624714,0,0.051652939,0.000132656,0.2173913,0.2540046,0.1510298,0.0869565,0.1075515,0.0389016,0.0160183,-113.426019,53.54601157,FALSE,1
39,509,39,Rio Terrace,0.582752356,291947500,573570.7269,WARD 5,11,44,48,32,22,47,19,22,251,0.044898,0.2244898,0.4204082,0.6408163,0.832653,0.9102041,0.5060484,0.4939516,245,0.5510204,0.2244898,0.4163265,0.3591837,0,0.040499732,7.89E-05,0.1795918,0.1959184,0.1306122,0.0897959,0.1918367,0.077551,0.0897959,-113.5849127,53.50838451,FALSE,1
