idx,name,census_type,census_type_value,pct_category,pct,LI_greater_than_MC,Pct_LowIncome_less_than_60K,Pct_MiddleClass_60K_to_150K,Pct_Over_150K,POINT_X,POINT_Y,Assessed_Value_Sum,Avg_Assessed_Value
53,Empire Park,c2016_150K_to_200K,10,Pct_150K_to_200K,0.0103093,1,0.528866,0.456701,0.014433,-113.5051116,53.4848479,198751500,157864.5751
54,Empire Park,c2016_200K_to_250K,3,Pct_200K_to_250K,0.0030928,1,0.528866,0.456701,0.014433,-113.5051116,53.4848479,198751500,157864.5751
55,Empire Park,c2016_250K_or_more,1,Pct_250K_or_more,0.0010309,1,0.528866,0.456701,0.014433,-113.5051116,53.4848479,198751500,157864.5751
56,Meadowlark Park,c2016_Less_than_30K,124,Pct_less_than_30k,0.1445221,1,0.511655,0.4160839,0.0722611,-113.5965567,53.52551296,410678500,269828.1866
57,Meadowlark Park,c2016_30K_to_60K,315,Pct_30K_to_60K,0.3671329,1,0.511655,0.4160839,0.0722611,-113.5965567,53.52551296,410678500,269828.1866
58,Meadowlark Park,c2016_60K_to_100K,197,Pct_60K_to_100K,0.2296037,1,0.511655,0.4160839,0.0722611,-113.5965567,53.52551296,410678500,269828.1866
59,Meadowlark Park,c2016_100K_to_125K,114,Pct_100K_to_125K,0.1328671,1,0.511655,0.4160839,0.0722611,-113.5965567,53.52551296,410678500,269828.1866
60,Meadowlark Park,c2016_125K_to_150K,46,Pct_125K_150K,0.0536131,1,0.511655,0.4160839,0.0722611,-113.5965567,53.52551296,410678500,269828.1866
61,Meadowlark Park,c2016_150K_to_200K,47,Pct_150K_to_200K,0.0547786,1,0.511655,0.4160839,0.0722611,-113.5965567,53.52551296,410678500,269828.1866
62,Meadowlark Park,c2016_200K_to_250K,10,Pct_200K_to_250K,0.011655,1,0.511655,0.4160839,0.0722611,-113.5965567,53.52551296,410678500,269828.1866
63,Meadowlark Park,c2016_250K_or_more,5,Pct_250K_or_more,0.0058275,1,0.511655,0.4160839,0.0722611,-113.5965567,53.52551296,410678500,269828.1866
64,Summerlea,c2016_Less_than_30K,94,Pct_less_than_30k,0.1672598,1,0.5124555,0.4181495,0.069395,-113.6219652,53.52532309,180135500,255149.4334
65,Summerlea,c2016_30K_to_60K,194,Pct_30K_to_60K,0.3451957,1,0.5124555,0.4181495,0.069395,-113.6219652,53.52532309,180135500,255149.4334
66,Summerlea,c2016_60K_to_100K,157,Pct_60K_to_100K,0.2793594,1,0.5124555,0.4181495,0.069395,-113.6219652,53.52532309,180135500,255149.4334
67,Summerlea,c2016_100K_to_125K,42,Pct_100K_to_125K,0.0747331,1,0.5124555,0.4181495,0.069395,-113.6219652,53.52532309,180135500,255149.4334
68,Summerlea,c2016_125K_to_150K,36,Pct_125K_150K,0.0640569,1,0.5124555,0.4181495,0.069395,-113.6219652,53.52532309,180135500,255149.4334
69,Summerlea,c2016_150K_to_200K,23,Pct_150K_to_200K,0.0409253,1,0.5124555,0.4181495,0.069395,-113.6219652,53.52532309,180135500,255149.4334
70,Summerlea,c2016_200K_to_250K,12,Pct_200K_to_250K,0.0213523,1,0.5124555,0.4181495,0.069395,-113.6219652,53.52532309,180135500,255149.4334
71,Summerlea,c2016_250K_or_more,4,Pct_250K_or_more,0.0071174,1,0.5124555,0.4181495,0.069395,-113.6219652,53.52532309,180135500,255149.4334
72,Grovenor,c2016_Less_than_30K,69,Pct_less_than_30k,0.1227758,0,0.3487544,0.475089,0.1761566,-113.5716064,53.54592903,425973500,397363.3396
73,Grovenor,c2016_30K_to_60K,127,Pct_30K_to_60K,0.2259786,0,0.3487544,0.475089,0.1761566,-113.5716064,53.54592903,425973500,397363.3396
74,Grovenor,c2016_60K_to_100K,140,Pct_60K_to_100K,0.2491103,0,0.3487544,0.475089,0.1761566,-113.5716064,53.54592903,425973500,397363.3396
75,Grovenor,c2016_100K_to_125K,70,Pct_100K_to_125K,0.1245552,0,0.3487544,0.475089,0.1761566,-113.5716064,53.54592903,425973500,397363.3396
76,Grovenor,c2016_125K_to_150K,57,Pct_125K_150K,0.1014235,0,0.3487544,0.475089,0.1761566,-113.5716064,53.54592903,425973500,397363.3396
77,Grovenor,c2016_150K_to_200K,46,Pct_150K_to_200K,0.0818505,0,0.3487544,0.475089,0.1761566,-113.5716064,53.54592903,425973500,397363.3396
78,Grovenor,c2016_200K_to_250K,28,Pct_200K_to_250K,0.0498221,0,0.3487544,0.475089,0.1761566,-113.5716064,53.54592903,425973500,397363.3396
79,Grovenor,c2016_250K_or_more,25,Pct_250K_or_more,0.044484,0,0.3487544,0.475089,0.1761566,-113.5716064,53.54592903,425973500,397363.3396
80,Britannia Youngstown,c2016_Less_than_30K,207,Pct_less_than_30k,0.2789758,1,0.5795148,0.3881402,0.032345,-113.6015738,53.54602083,368626500,240147.557
81,Britannia Youngstown,c2016_30K_to_60K,223,Pct_30K_to_60K,0.3005391,1,0.5795148,0.3881402,0.032345,-113.6015738,53.54602083,368626500,240147.557
82,Britannia Youngstown,c2016_60K_to_100K,190,Pct_60K_to_100K,0.2560647,1,0.5795148,0.3881402,0.032345,-113.6015738,53.54602083,368626500,240147.557
83,Britannia Youngstown,c2016_100K_to_125K,67,Pct_100K_to_125K,0.0902965,1,0.5795148,0.3881402,0.032345,-113.6015738,53.54602083,368626500,240147.557
84,Britannia Youngstown,c2016_125K_to_150K,31,Pct_125K_150K,0.041779,1,0.5795148,0.3881402,0.032345,-113.6015738,53.54602083,368626500,240147.557
85,Britannia Youngstown,c2016_150K_to_200K,17,Pct_150K_to_200K,0.0229111,1,0.5795148,0.3881402,0.032345,-113.6015738,53.54602083,368626500,240147.557
86,Britannia Youngstown,c2016_200K_to_250K,2,Pct_200K_to_250K,0.0026954,1,0.5795148,0.3881402,0.032345,-113.6015738,53.54602083,368626500,240147.557
87,Britannia Youngstown,c2016_250K_or_more,5,Pct_250K_or_more,0.0067385,1,0.5795148,0.3881402,0.032345,-113.6015738,53.54602083,368626500,240147.557
88,Glenwood,c2016_Less_than_30K,404,Pct_less_than_30k,0.3255439,1,0.6760677,0.296535,0.0273973,-113.6026803,53.5364378,457686000,214876.0563
